ID,PRODUCT,SLOGAN,DESCRIPTION
0,Desliz! Lubricante íntimo de agua 100ml,,"Algunos lubricantes son un poco densos, otros muy líquidos, unos pringan, otros se absorben demasiado rápido, unos son muy caros, otros son de baja calidad... tras años trabajando con más de 15 marcas de lubricantes íntimos, en amantis y amantis.net nos hemos decidido a buscar la fórmula más equilibrada posible, creemos tenerla en nuestras manos...Desliz! de agua, es un lubricante íntimo concentrado y duradero. Por su densidad es ideal para el uso con juguetes eróticos de cualquier material, 100% compatible con preservativos, perfecto para el uso como lubricante íntimo vaginal. Complementa y facilita las relaciones sexuales.Sin olor ni sabor, no mancha, totalmente hipoalergénico y altamente hidratante dejará tu piel suave y deslizante incluso después de su total absorción."
1,FOXTAIL,plug anal cola de zorro de 35cm,"Deja volar la imaginación y saca tu lado más salvaje con FOXTAIL.Este excitante Plug anal diseñado para ayudarte en procesos de dilatación es toda una fantasía. Con él te sentirás una fiera poderosa capaz de someter a sus víctimas, o simplemente lucirás majestuosa tu belleza. Y es que esta suave cola de piel sintética de 35 cm es ideal para hacer volar la imaginación, y te permitirá excitarte a solas (imagínate frente a un espejo moviendo la cola y recibiendo todo el placer que te mereces) o en compañía (aquí poco hace falta decir, no creo que haya amante capaz de resistirse a una criatura como tú).Su cuerpo de metal te permitirá jugar con diferentes temperaturas, así que prueba a meterlo en agua templada o a enfriarlo en la nevera y disfruta de las diferentes sensaciones.Aplica unas gotas de tu lubricante anal favorito para disfrutar la experiencia y prepárate para aullar de placer."
2,LIZO 2,Dildo de suave silicona en 3 tamaños,"En un azulejo de la cocina, en una puerta, en la ducha, bañera o yakuzzi, o incluso juntando un LIZO 2 con otro. LIZO 2 tiene la ventosa de fijación más potente que vas a encontrar y sí, te va a atrapar.Ha llegado a amantis una nueva gama de dildos no realistas con silicona de máxima calidad: suave y consistente, con el toque de flexibilidad ideal para utilizarlo en solitario, pareja o acoplado a un arnés. LIZO 2.0 dispone de una ventosa con un increíble poder de fijación. Puedes adherirlo a un espejo de pared para observarte bien mientras lo introduces por tu cuerpo… o a cualquier superficie no porosa, ¡como los azulejos de la ducha!Si unes dos de nuestros maravillosos Lizos 2.0 por la ventosa, dispondrás de un dildo tipo double dong para que cada parte lo introduzca por el orificio preferido de su cuerpo… ¡Placer a dos bandas!, y que cada cual escoja su tamaño y color preferido.Y si lo que quieres es llevar la batuta en eso de la penetración, acóplalo tu arnés de anillas preferido, porque su diseño y consistencia lo hacen ideal para este tipo de prácticas: su ánimo nunca decae y la forma de su ventosa –en corazón- se adapta al púbis e impide que se escape de la anilla con el movimiento. ¡Justo lo que necesitas!Tanto para tus momentos de onanismo como para tus prácticas en compañía, Lizo 2.0 será tu gran aliado. ¡No dudes en comprobarlo!"
3,Bacanal FORTE TARRO 200ml,lubricante anal concentrado con aloe,"Si alguna vez has pensado que el sexo anal es complicado… ¡Es porque aún no has probado nuestro nuevo Bacanal Forte!Si eres de esas personas que les gusta ponerse ""manos a la obra"" (literalmente) este formato tarrina de nuestro exclusivo Bacanal Forte es perfecto para ti.Se trata de un lubricante en gel, de base acuosa, en cuyos componentes encontrarás un grandísimo aliado para todas tus aventuras anales.Enriquecido con Aloe vera, el Bacanal Forte aporta un extra de hidratación y elasticidad a tu piel, gracias a sus propiedades suavizantes y reconstituyentes, tengas el tipo de piel que tengas. Sus 200 ml son suficientes para que dilatar sea facilísimo y muy placentero; y, por si fuera poco, te dejará una sensación inigualable en la piel: no querrás dejar de acariciarla.Su textura, ligeramente más densa que el Bacanal original, es la clave de su duración: disfruta sin parar de las sesiones anales más divertidas. Y ¡no solo eso! Es el acompañante ideal para cualquier juego erótico que necesite una gran dilatación."
4,Vibrador Líquido con sabor Desliz! VIBRAGEL 30ml,hormigueo oral,"¿Alguna vez has sentido un hormigueo en lo más profundo de tu ser? Nace un nuevo concepto de Desliz! los lubricantes by amantis.Reparte unas gotas de este vibrador líquido en tus zonas más húmedas y redescubre el sexo. El hormigueo que despertará en ti no te dejará indiferente.¡Déjate lamer! el sabor de este potenciador os dará un nuevo universo durante el sexo oral... o mejor aún, úsalo como si de un gloss se tratase y sorprende a tu pareja. Podrás escoger entre frutos rojos si te van los sabores más dulzones, la fresa si quieres apostar por algo un poco más ácido y fresco, la cereza si te gustan las piruletas, o el melocotón si te gustan las frutas jugosas.Este formato de 30ml encaja perfectamente en cualquier cajón o sobre tu mesilla de noche. Si necesitas un formato más discreto tienes el VIBRAGEL 10ml, ideal para llevar siempre contigo y listo para usar en cualquier situación."
5,VINTAGE,Vibrador clásico metalizado,"¡Qué tendrán los ochenta que nos encantan! Los ochenta fueron la década de las hombreras, la laca y los tules, fue la época de sex symbols como Mickey Rourke y Sharon Stone. La efervescencia de una moda que podría definirse en dos palabras: Sexy y Brillante. Así que nuestro homenaje a esta época no podría ser de otra manera. VINTAGE es sexy y brillante, porque es la bala vibradora más ochentera y añorada de amantis. Es cierto que todas las balas son juguetes enormemente versátiles, pero a veces, su pequeño tamaño puede hacerte echar de menos una longitud o grosor mayor. Pues eso justo es lo que te ofrece VINTAGE, con su tamaño considerablemente mayor, tanto en grosor como en longitud, hará que no tengas que echar nada de menos. Sus brillos y reflejos harán la fantasía del momento, empieza a imaginar como se verán las formas reflejadas o como quedarán sus paredes tras una sesión de placer VINTAGE.VINTAGE te ofrece una vibración progresiva única, más cosquilleante y sutil que la de otros vibradores ya que su potencia viene dada por una simple pila AA. Regula su potencia a través de una ruedita que tiene en su base desde muy suave hasta su máxima potencia y déjate arrastrar por el encanto de los ochenta. Las posibilidades de juego de VINTAGE son infinitas: úsala durante la masturbación, para estimular cualquier parte de tu cuerpo en cualquier momento, para darle una vibración extra durante el sexo oral, penetración, etc.  Y es que las balas vibradoras no son solo juguetes genitales, perdón, geniales.La vibración que emite es diferente a la de los vibradores y juguetes que tenemos de silicona médica, es más cosquilleante y sútil. No te pierdas recorrer todo tu cuerpo y el de tus amantes con ella, será algo que estremecerá cualquier centímetro de tu piel y activará tu circuito de excitación.¿Te ponen los 80? Prueba VINTAGE."
6,TOBOGANE HOT RABBIT,el superventas de amantis ¡mejorado!,"Vuelve nuestro vibrador de doble estimulación más vendido de AMANTIS… ¡Ahora con rabbit!Si ya conoces a TOBOGANE, nuestro súperventas con doble motor, mango ergonómico gracias a su anilla y efecto calor, vas a enamorarte completamente de su versión más actualizada; le hemos añadido las orejitas a su brazo de estimulación externa y el resultado es un potente conejo que bordeará y hará trepidar a tu clítoris (o perineo) para una estimulación más completa, precisa y profunda.Esta nueva versión Rabbit, cuenta con 2 motores: uno en cada brazo de estimulación dual (interna y externa) con 10 patrones de vibración combinándolos de forma independiente y otro de efecto calor… que caldeará y templará a tu adorado juguete para tener una experiencia total HOT sin sobresaltos.Déjate caer por un tobogán de sensaciones y por las sinuosas curvas del nuevo TOBOGANE RABBIT… que está vez te hará también saltar."
7,CRISTALINO XL,gran dildo transparente de 22cm,"¿Te gusta hacer bandera de la transparencia en tus relaciones? ¡Pues qué mejor mástil que nuestra gama CRISTALINO, un dildo transparente para que puedas añadirle a tus juegos un toque de morbo extra.Este dildo realista viene con una potente ventosa de fijación para que puedas disfrutar de él contra cualquire superficie lisa. Y, si te gusta tanto dar como recibir, podrás acoplarlo a tu arnés de anillas preferido para penetrar a tu pareja.Los nuevos CRISTALINO de amantis son muy agradables y flexibles al tacto, pero con la firmeza necesaria para disfrutarlos a tu manera. Añádele una generosa cantidad de tu lubricante favorito porque su material admite tanto lubricantes de base de agua como los de silicona y glicolados antes  de dejarlo perderse por tu cuerpo. Es apto tanto para penetración anal como vaginal, pero si quieres algo más pequeño echa un vistazo a CRISTALINO MINI y CRISTALINO MINI G.¿Lo ves claro? Nosotros cristalino."
8,FLOGGY,Flogger BDSM de piel vegana,"En amantis contamos con muchos potenciadores de tu animalidad, te ofrecemos toda una serie de complementos que despertarán ese lado instintivo y fieresco que todas llevamos dentro porque es parte de nuestra naturaleza.La clave es encontrar con quién sentirse segura y a gusto para consentir prácticas que rozan el dolor como fuente de placer. Tienes ante ti un clásico en la práctica bdesemera, un flogger.FLOGGY es un azotador, pero no es un azotador cualquiera, si no que se diferencia de otro tipo de látigos porque tiene diferentes colas, haciendo que cada punta despierte muchas terminaciones nerviosas a la vez. FLOGGY tiene 15 colas hechas de piel vegana y una empuñadura rodeada del mismo material.Al tener muchas puntas podremos abarcar una área más extensa del cuerpo. Cuanto mayor sea la zona que abarquemos con el azote, la fuerza más se dispersa, mientras que si la zona es más pequeña y más específica la fuerza del impacto se concentra más. Por lo que con FLOGGY podrás tener más escala de grises en cuánto a sensaciones, pues dependiendo de cómo lo uses podrás viajar a través de muchas sensaciones diferentes.No olvides que no solo tiene función de látigo bondage, si no que FLOGGY te sirve para hacer movimientos repetitivos verticales, horizontales, circulares y transversales. Recuerda que azotar es una práctica altamente excitante donde podremos focalizar, cosquilleando y acariciando, mientras jugamos con la incertidumbre de cuándo vendrá el azote.Aprended a miraros y deciros lo que os gusta para poder cumplir con el principio fundamental del BDSM, el SCCP (sexo seguro, sensato, consensuado y placentero) y no olvideis tener una palabra de seguridad que nos ayude a entender si algún límite está siendo sobrepasado."
9,TOBOGANE,el vibrador doble más vendido,"Por favor, desabróchense los cinturones de seguridad. Las curvas más atractivas y emocionantes que hayas probado te están esperando. Disfruten del nuevo TOBOGANE HOT.Créenos, subir a TOBOGANE puede ser una de las elecciones más estimulantes que hayas tomado. Tan solo con sacarlo de su exclusiva caja y acariciar su suave silicona y sus formas semi-flexibles te harán sentir un escalofrío de placer.... y te robará una sonrisa al pensar qué se sentirá.Pero las prestaciones de TOBOGANE van más allá y lo hacen único en su categoría, su sencillo sistema de control, sus 10 modos de vibración en dos zonas, su nuevo efecto calor independiente, su sistema de carga y que lo puedas sumergir lo hacen totalmente único, y ¿su precio...? ah sí su precio... tan ligero, casi inapreciable.De tamaño perfecto, ni muy grande ni muy pequeño, sirve para iniciarse en el mundo de la fantasía para adultos, en el cosquilleo anal, e incluso para disfrutar en pareja sin que nadie se sienta desplazado. Activa su efecto calor, y disfruta de una sensación cálida para una introducción suave y sin sobresaltos.La última atracción exclusiva de amantis es más que tentadora... es irresistible, lo sabemos. ¿Quieres emociones? súbete a TOBOGANE HOT antes de que se agote."
