ID,PRODUCT,SLOGAN,DESCRIPTION,CHARACTERISTICS,LISTA_URL,REGULAR_PRICE,DISCOUNT_PRICE
0,Desliz! Lubricante íntimo de agua 100ml,,"Algunos lubricantes son un poco densos, otros muy líquidos, unos pringan, otros se absorben demasiado rápido, unos son muy caros, otros son de baja calidad... tras años trabajando con más de 15 marcas de lubricantes íntimos, en amantis y amantis.net nos hemos decidido a buscar la fórmula más equilibrada posible, creemos tenerla en nuestras manos...Desliz! de agua, es un lubricante íntimo concentrado y duradero. Por su densidad es ideal para el uso con juguetes eróticos de cualquier material, 100% compatible con preservativos, perfecto para el uso como lubricante íntimo vaginal. Complementa y facilita las relaciones sexuales.Sin olor ni sabor, no mancha, totalmente hipoalergénico y altamente hidratante dejará tu piel suave y deslizante incluso después de su total absorción.","Bote de 100ml de venta exclusiva en amantis.net y tiendas amantis.Ingredientes: Aquam glycerin, hydroxyethylcellulose, diazolidinyl urea, sodium benzoate, potassium sorbate, citric acid. ",https://www.amantis.net/desliz-lubricante-intimo-agua-100ml/,9.99,7.99
1,TOBOGANE HOT RABBIT,el superventas de amantis ¡mejorado!,"Vuelve nuestro vibrador de doble estimulación más vendido de AMANTIS… ¡Ahora con rabbit!Si ya conoces a TOBOGANE, nuestro súperventas con doble motor, mango ergonómico gracias a su anilla y efecto calor, vas a enamorarte completamente de su versión más actualizada; le hemos añadido las orejitas a su brazo de estimulación externa y el resultado es un potente conejo que bordeará y hará trepidar a tu clítoris (o perineo) para una estimulación más completa, precisa y profunda.Esta nueva versión Rabbit, cuenta con 2 motores: uno en cada brazo de estimulación dual (interna y externa) con 10 patrones de vibración combinándolos de forma independiente y otro de efecto calor… que caldeará y templará a tu adorado juguete para tener una experiencia total HOT sin sobresaltos.Déjate caer por un tobogán de sensaciones y por las sinuosas curvas del nuevo TOBOGANE RABBIT… que está vez te hará también saltar.","Medidas: 19cm (11cm insertables) y 3,3cm/ 2,2cm (ancho máximo/ mínimo)Material: Silicona médica + ABSVibración: 10 modos + 6 intensidadesEfecto calor independienteRecargable (cable USB incluido)Sumergible IPX7Función de bloqueo para viajesIncluye estuche rígido y bolsa de saténColor: púrpura o negroLimpieza y conservación: Recordamos que el uso de lubricante es aconsejable para cualquier actividad sexual (siempre con base de agua al utilizar juguetes de silicona). No olvides lavar tus juguetes antes y después de cada uso, con agua y jabón neutro o un limpiador específico de acción desinfectante y bactericida, como nuestro spray limpiador Limpín. Todos los juguetes deben estar separados entre sí, en un lugar fresco y seco; para ello puedes utilizar la bolsa de satén incluida o una de nuestras bolsas de terciopelo en diferentes tamaños. ",https://www.amantis.net/tobogane-hot-rabbit-el-superventas-amantis-mejorado/,89.99,39.99
2,BALLENATO,tu vibrador a distancia con aleta móvil y sumergible,"De las profundidades más húmedas llega BALLENATO, el nuevo vibrador ergonómico de AMANTIS.Este grandioso cetáceo vibrante es poseedor de una colita estructurada que adquiere la forma que tú le des. De tal manera que podrías usarlo: como un potente dildo (dejando la aleta articulada en línea recta), como juguete de doble estimulación (vagina- clítoris / ano- perineo) o como vibrador tipo C (insertando sólo la parte de la aleta y permitiendo la penetración mientras lo llevas puesto)… entre muchas otras formas de estimulación externa.Además, BALLENATO es disfrutón y aparte de pasarlo muy bien en el hogar y recrearse en los juegos húmedos del baño, le encanta dar paseos al aire libre o incluso que lo saques a cenar porque gracias a su mando a distancia, podrás llevarlo puesto y activarlo allá donde tú quieras.Hazte ya las veinte mil leguas de viaje submarino con sus múltiples y diversas inmersiones.¡FREE BALLENATO!","Mando a distancia.Peso 62 gramos.Silicona médica.5 modos de vibración.Recargable (cable USB incluido). Tiempo de carga: 2h. Tiempo de uso: 1,5h.Sumergible.Color: Rosa o azul pastel.Limpieza y conservación:Recordamos que el uso de lubricante es aconsejable para cualquier actividad sexual (siempre con base de agua al utilizar juguetes de silicona). No olvides lavar tus juguetes antes y despus de cada uso, con agua y jabón neutro o un limpiador específico de acción desinfectante y bactericida, como nuestro spray limpiadorLimpín. Todos los juguetes deben estar separados entre sí, en un lugar fresco y seco; para ello puedes utilizar nuestrasbolsas de terciopelo en diferentes tamaños. ",https://www.amantis.net/ballenato-tu-vibrador-distancia-aleta-movil-sumergible/,99.99,49.99
3,TANDEM 2 flex,vibrador doble flexible con mando,"Tanto si ya eras fan de nuestro querido TANDEM como si no lo conocías, te presentamos su nueva versión TANDEM 2 flex: más flexible, reducido, recargable, con dos motores y mando a distancia. Haz tu Tándem ""chica->chica"" o ""chica->chico"" y prepátrate, TANDEM 2 flex lo tiene todo para dar mientras tomas, con un plus de comodidad y vibraciones!Su nuevo diseño –más compacto- lo hace mucho más manejable, sin renunciar a la máxima calidad de su silicona suave y aterciopelada. TÁNDEM 2 flex lleva dos motores, uno para quien lo lleve puesto y otro en el dildo, que vibrarán al ritmo de 10 patrones de vibración diferentes y tres niveles de intensidad distintos, que puedes controlar desde el propio juguete o con… ¡un mando a distancia!Decide si quieres utilizarlo sin arnés o en combinación con un modelo abierto, como nuestro precioso arnés-braguita de amantis, que te aportará un extra de sujeción para no tener que preocuparte por nada. Se adapta a cualquier cuerpo gracias a su flexibilidad y, si deseas darle mayor abertura, ábrelo y cierralo con tus manos varias veces para aumentar su arco antes del primer uso.¿Necesitas algún motivo más para hacerte con él? Pues aquí lo tienes… TÁNDEM 2 flex es salpicable, así que podréis hacer realidad vuestras fantasías incluso en la ducha. ¿No es maravilloso? ¿Nos hacemos un TÁNDEM?","10 patrones de vibración diferentes y tres niveles de intensidadMaterial: silicona y ABSLongitud operativa: 12 cm (dildo externo) / 8 cm (parte interna)Diámetro máximo: 3,4 cm (dildo externo) / 3,6 c, (parte interna)Sumergible IPX7 (no sumergir el mando)Batería de litio recargable (con cargador USB incluido)Tiempo de carga: 3 horasAutonomía: 1 hora (en uso) / 3 meses (en standby)El mando a distancia funciona con una pila CR2032 (incluida)Color: negro, rosa o púrpuraUsar con lubricante de base acuosa Limpiar correctamente antes y después de cada uso (con jabón neutro y/o bactericida tipo Límpín)Guardar en una bolsa de tela transpirable, alejado de la luz solar directa y de manera individual. Los juguetes sexuales no deben almacenarse nunca en contacto con otros. ",https://www.amantis.net/tandem-2-flex-vibrador-doble-flexible-mando/,109.99,49.99
4,FOXY,Succionador con mango vibrador y orejitas,"Los succionadores van evolucionando, vamos descubriendo más y más formas de obtener placer. ¿Cómo podemos obtener más placer? Una bonita manera de regalarte un orgasmo potente e intenso es haciendo que sea más deseado, es decir, alargando la fase previa al orgasmo, osea la fase de la excitación.Para ello la clave está en combinar diferentes tipos de estimulaciones y también estimular otras zonas antes de ir directamente al grano. FOXY es un juguete de doble estimulación y focalizador de puntos erógenos más precisos por sus orejitas. Por un lado el mango es un vibrador que alcanza hasta 3 intensidades de vibración diferentes y 4 combinaciones rítmicas, estas vibraciones se trasladan a las orejitas de la parte superior del juguete y te servirán para focalizar en zonas más pequeñitas, ¡pero no menos importantes! Estas zonas son zonas con multitud de terminaciones nerviosas y nos referimos a zonas como los labios, el cuello, los pezones, el cráneo, los glúteos etc.FOXY, a su vez, también es un succionador sónico; la succión sónica consigue que la estimulación no solo se aplique al glande externo del clítoris. Gracias a sus toques rítmicos, a través de sus ondas longitudinales, también masajea sus raíces internas haciendo que los orgasmos sean mucho más intensos.FOXY es un juguete que nos ofrece una estimulación simultánea combinando la vibración y la succión, pero su tecnología nos permite también estimularnos de manera alterna para poder alargar más los niveles de intensidad media y hacernos desear más el orgasmo. No olvides que los juguetes son un elemento maravilloso para introducir en las relaciones. Notareis como subirán vuestros niveles de confianza y conectaréis de una manera muy especial.","Vibrador con orejitas y succión simultáneaMateriales: Silicona de grado médico + ABSColores: rosa2 horas de uso continuado120 minutos para una carga completa.3 intensidades de vibración y 4 combinaciones rítmicas vibratorias.3 intensidades de succión y 4 combinaciones rítmicas de succión.Sumergible IPX7Recargable (cargador USB incluído)Como se usa vibrador succionador FOXYPuedes probar a activar su vibración y utilizar las orejitas para ir despertando la excitación poco a poco, cuanto más poco a poco vayas más deseo generas y más beneficiosos serán tus orgasmos.Recuerda que una vez tus genitales estén despiertos, tu clítoris está preparado para recibir placer, ahí puedes activar la succión de ondas e ir aumentando la velocidad de las mismas conforme la excitación vaya subiendo.FOXY tiene dos botones en la parte interna del mango, el que está abajo es el botón de encendido; pulsando tres segundos sentirás un pequeño toque de vibración y una luz se encenderá. Estos dos indicadores te harán saber que el juguete está encendido. Volviendo a apretar el botón de encendido, esta vez con una pulsación corta, activarás la vibración, y si pulsas el de arriba, la succión. Con las tres primeras pulsaciones cortas en ambos botones podrás ir cambiando de intensidad y, en las siguientes tres, encontrarás diferentes combinaciones rítmicas.Cada día estarás en un mood diferente, así que te recomendamos que hagas lo que te pida el cuerpo y fluyas con las diferentes combinaciones que FOXY te ofrece.No olvides acompañarlo con tu lubricante base de agua preferido, como Desliz!, y limpiarlo antes y después de cada uso con agua tibia y un jabón neutro, o un jabón bactericida como Limpín. Sécalo bien antes de guardarlo y mantenlo alejado de otros juguetes, por ejemplo en una de nuestras bolsas de satén. ",https://www.amantis.net/foxy-vibrador-succionador-orejitas/,59.99,39.99
5,FRESH GIRL,6 Kilos y 40cm de piel real disfrutable,"FRESH GIRL es una bocanada de aire fresco en tus noches de auto-disfrute, una manera de acercarte a tus propias experiencias y reconocer que a veces, la vida es sueño. Tendrás que pellizcarte cuando termines.FRESH GIRL es una auténtica diosa del placer. La vamos a recorrer de arriba a abajo para que no tengas dudas de que puede ser la mejor compra de este año.FRESH GIRL tiene unos pechos tremendamente generosos, con los pezones mejor perfilados que puedas imaginar, su pecho es tan abultado y terso que cuando tu pene los acaricie querrá sentirlos abrazandote.FRESH GIRL tiene una cintura de avispa para poder sujetarla firmemente en cada embestida y unas amplias caderas, robustas que te acompañarán durante muchos años en tus juegos más íntimos si la cuidas correctamenteFRESH GIRL es tan pesada que tendrás que usar tus dos manos para darle la vuelta, pero es que cuando veas su hermoso trasero es tan perfecto, tan latino, tan real, que no querrás quitarle ojo… ni la mano.FRESH GIRL se puede disfrutar de múltiples maneras. Ambos canales son practicables, lo que te permitirá aumentar las sensaciones en una doble penetración (Que gran idea!, hazte con un dildo de amantis para cumplir tus fantasias) Tienen textura interior de burbujas para maximizar el placer, una cuidada reproducción de la vulva y ano que invitan a perderse en ellos.Una oportunidad única de vivir sensaciones tan reales que cuesta creerlo. Además, las experiencias con asistentes masturbadores super reales te pueden ayudar a mejorar tu “performance” en encuentros reales, a tener un mayor control sobre tu cuerpo y retrasar la eyaculación entre otros beneficios.También puedes escoger a su prima VENUS, que acaba de llegar a amantis con más curvas todavía!Empieza mañana mismo a disfrutar con FRESH GIRL. Ya sabes, clic clic,clic... ding dong!","Longitud total 40cm, Altura 14cm, Ancho 23.5cmPechos de 9cm de diámetro Canal interno diámetro 2.5cm, longitud interna 18cm Peso 6Kg (aprox) No contiene látex ni Ftalatos Ciberpiel 100% REAL Material hiper realDisfrutala siempre con lubricante de aguaLimpiala con agua corriente y déjala secar  ",https://www.amantis.net/fresh-girl-6-kilos-40cm-piel-real-disfrutable/,299.99,99.99
6,MENEO sube y baja,placer realista con control remoto,"Si te gusta que te metan un buen meneo, hazte con este dildo percutor y vibrador con control remoto.Puedes adherirlo a cualquier superficie no porosa, gracias a su ventosa de fijación, y controlar su movimiento con el mando a distancia (o bien cederle el control a alguien para que lo haga por ti).MENEO vibra y percute, así que puede penetrarte él solito o ser un complemento ideal para tu arnés de anillas. Penetra a tu pareja con un dildo realístico que se mueve al son de 3 patrones de percusión diferentes y 10 modalidades de vibración distintas.¿Qué más se le puede pedir? ¿Que sea resistente al agua? ¡Lo es! Así que podrás llevártelo a la ducha contigo.Ya lo ves, Meneo’s Cock puede ir contigo a donde quiera que vayas y siempre está dispuesto a darte placer. ¿Prefieres un dildo percutor? Echa un vistazo a su hermano rotador.","Dildo percutor y vibrador con control remoto3 patrones de percusión y 10 modalidades de vibración diferentesComposición: TPE (libre de ftalatos) / mando fabricado en ABSColor: Piel oscura y piel claraDimensiones:Mediano: 22,7 cm longitud total (15,2-17 cm insertables) / 4,2 cm diámetro máximoGrande: 24 cm longitud total (16,5-19 cm insertables) / 4,8 cm diámetro máximoSalpicable IPX4 (no debe sumergirse el puerto de carga ni el mando a distancia)Incluye ventosa de fijaciónDildo con batería recargable (incluye cargador USB. Debe insertarse en la base, donde indica DC)Tiempo de carga: 3 horasAutonomía en uso: 1 horasAutonomía en reposo: 3 mesesEl mando a distancia funciona con una pila CR2032 (incluida)Usar con lubricante de base acuosa Apto para arneses de anillasLimpiar correctamente antes y después de cada uso (con jabón neutro y/o bactericida tipo Límpín)Guardar en una bolsa de tela transpirable, alejado de la luz solar directa y de manera individual. Los juguetes sexuales no deben almacenarse nunca en contacto con otros. ",https://www.amantis.net/meneo-sube-baja-realista-control-remoto/,99.99,49.99
7,TOBOGANE,el vibrador doble más vendido,"Por favor, desabróchense los cinturones de seguridad. Las curvas más atractivas y emocionantes que hayas probado te están esperando. Disfruten del nuevo TOBOGANE HOT.Créenos, subir a TOBOGANE puede ser una de las elecciones más estimulantes que hayas tomado. Tan solo con sacarlo de su exclusiva caja y acariciar su suave silicona y sus formas semi-flexibles te harán sentir un escalofrío de placer.... y te robará una sonrisa al pensar qué se sentirá.Pero las prestaciones de TOBOGANE van más allá y lo hacen único en su categoría, su sencillo sistema de control, sus 10 modos de vibración en dos zonas, su nuevo efecto calor independiente, su sistema de carga y que lo puedas sumergir lo hacen totalmente único, y ¿su precio...? ah sí su precio... tan ligero, casi inapreciable.De tamaño perfecto, ni muy grande ni muy pequeño, sirve para iniciarse en el mundo de la fantasía para adultos, en el cosquilleo anal, e incluso para disfrutar en pareja sin que nadie se sienta desplazado. Activa su efecto calor, y disfruta de una sensación cálida para una introducción suave y sin sobresaltos.La última atracción exclusiva de amantis es más que tentadora... es irresistible, lo sabemos. ¿Quieres emociones? súbete a TOBOGANE HOT antes de que se agote.","Vibrador con doble motor. Medidas:  19cm, (11cm de penetración) diámetro máximo 3,3cm, mínimo 2,2cm. 2 motores independientes. Material: silicona de grado médico (100% compatible con el cuerpo). Ergonómico y de fácil manejo. Sumergible. Recargable por puerto USB, incluye cable. Contiene estuche rígido de guardado y bolsita de satén. 10 modos de vibración ultra silenciosa. Efecto calor (a los pocos segundos se calentará hasta 39 grados) ",https://www.amantis.net/tobogane-el-vibrador-doble-mas-vendido-ahora-efecto-hot/,89.99,36.99
8,REGGIA,masturbador masculino doble,"A muchos nos surge la duda a lo hora de decidir entre un masturbador con forma de vagina o uno con forma de boca… Pero, ¿por qué no tener ambas en un solo juguete? Este increíble masturbador tiene dos canales de entrada, uno con forma de boca y, en su parte opuesta, otro con forma de vagina. Es tan difícil resistirse a los carnosos labios de su boca como a los tersos y delicados labios de su vagina. Tu única tarea es decidir que te apetece más en cada momento y qué combinaciones hacer. Las estrías internas de cada parte te transmitirán la sensación de estar metiéndola en una vagina o una boca de verdad. Pero, lo mejor es que en el medio del juguete las estrías cambian, de modo que podrás probar lo que se siente jugando con una boca y una vagina ¡A LA VEZ!. Además, está hecha de ciberpiel para que disfrutes de la sensación más realista que existe. Empuja ¡por un lado, por el otro, o por los dos…! hasta que ya no puedas resistirte a REGGIA!.Como se utiliza el masturbador Reggia:Aplica un poco de lubricante a base de agua en tu pene, en el juguete o en ambos e introduce tu miembro por su canal de entrada. Puedes cogerlo con una mano o con las dos y también jugar sólo o en compañía. Si dejas que sea otra persona la que dirija la situación, podrás masturbarte en modo “manos libres”, mientras la otra persona se excita de ver cómo te da placer a través del juguete.Consejos: No utilice aceite mineral, lubricantes a base de aceite o lubricantes a base de silicona. Después de su uso, lave con agua tibia, Limpín y deje secar al aire.","Material: TPE (ciberpiel)Textura: Muy blando, elástico y suaveMedidas: 20cm de profundidad × 7,5cm de diámetroConsejos: No utilice aceite mineral, lubricantes a base de aceite o lubricantes a base de silicona. Después de su uso, lave con agua tibia, Limpín y deje secar al aire. ",https://www.amantis.net/reggia-masturbador-masculino-doble/,49.99,29.99
9,LIZO 2,Dildo de suave silicona en 3 tamaños,"En un azulejo de la cocina, en una puerta, en la ducha, bañera o yakuzzi, o incluso juntando un LIZO 2 con otro. LIZO 2 tiene la ventosa de fijación más potente que vas a encontrar y sí, te va a atrapar.Ha llegado a amantis una nueva gama de dildos no realistas con silicona de máxima calidad: suave y consistente, con el toque de flexibilidad ideal para utilizarlo en solitario, pareja o acoplado a un arnés. LIZO 2.0 dispone de una ventosa con un increíble poder de fijación. Puedes adherirlo a un espejo de pared para observarte bien mientras lo introduces por tu cuerpo… o a cualquier superficie no porosa, ¡como los azulejos de la ducha!Si unes dos de nuestros maravillosos Lizos 2.0 por la ventosa, dispondrás de un dildo tipo double dong para que cada parte lo introduzca por el orificio preferido de su cuerpo… ¡Placer a dos bandas!, y que cada cual escoja su tamaño y color preferido.Y si lo que quieres es llevar la batuta en eso de la penetración, acóplalo tu arnés de anillas preferido, porque su diseño y consistencia lo hacen ideal para este tipo de prácticas: su ánimo nunca decae y la forma de su ventosa –en corazón- se adapta al púbis e impide que se escape de la anilla con el movimiento. ¡Justo lo que necesitas!Tanto para tus momentos de onanismo como para tus prácticas en compañía, Lizo 2.0 será tu gran aliado. ¡No dudes en comprobarlo!","Material: silicona médica de máxima calidadDimensiones: S 18cm (16,5 cm insertables) x 3,6 cm diámetro máx (3.1 cm diámetro medio) / M 18.5 cm (17,5 cm insertables) x 4 cm diámetro máx (3.5 cm diámetro medio) / L 19 cm (18 cm insertables) x 4,5 cm diámetro máx (4 cm diámetro medio)Colores: caucásico, verde, púrpuraPotente ventosa de fijación en forma de corazónCompatible con arneses de anillasUsar con lubricante de base acuosaLimpiar correctamente antes y después de cada uso (con jabón neutro y/o bactericida tipo Limpín). Guardar en una bolsa de tela transpirable, alejado de la luz solar directa y de manera individual. Los juguetes sexuales no deben almacenarse nunca en contacto con otros. ",https://www.amantis.net/lizo-2-dildo-suave-silicona-3-tamanos/,59.99,17.99
